Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Guatemala,GTM,1203355080
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Guinea,GIN,53272458.4212993
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Guinea-Bissau,GNB,18575499.4478127
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Guyana,GUY,137700000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Haiti,HTI,105680000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Honduras,HND,1316679827.33596
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Hungary,HUN,-5469731521.61746
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Iceland,ISL,1145767444.823
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,India,IND,44009492129.5319
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Indonesia,IDN,19779127976.9576
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Iraq,IRQ,-7574200000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Ireland,IRL,226022972770.416
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Israel,ISR,11336200000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Italy,ITA,13303439230.2377
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Jamaica,JAM,924977863.710039
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Japan,JPN,5252218412.39171
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Jordan,JOR,1600281690.14084
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kazakhstan,KAZ,6577824049.679
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kenya,KEN,619724465.016411
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kiribati,KIR,-819824.352875235
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kosovo,XKX,343350610.602172
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kuwait,KWT,284647623.805361
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Kyrgyz Republic,KGZ,1144054000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Lao PDR,LAO,1077759914.58895
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Latvia,LVA,812843819.517909
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Lebanon,LBN,2159289951.7
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Lesotho,LSO,113220010.397593
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Liberia,LBR,232679832.473779
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Liechtenstein,LIE,80400430107.7698
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Lithuania,LTU,1036954105.5948
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Luxembourg,LUX,45432153560
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Madagascar,MDG,328059305.56932
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Malawi,MWI,287746689.246669
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Malaysia,MYS,9857162111.82329
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Maldives,MDV,297975993.392527
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mali,MLI,275525536.040376
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Malta,MLT,3640705146.70853
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Marshall Islands,MHL,-5393638.49927042
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mauritania,MRT,501726765.733819
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mauritius,MUS,216455190
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mexico,MEX,36251149438
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Moldova,MDA,225870000
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Mongolia,MNG,94319767.4741563
Foreign direct investment net inflows (BoP; current US$),BX.KLT.DINV.CD.WD,Montenegro,MNE,699855695.331557
